nb_mots,nb_liens,nb_mots_sensibles,score_html,est_reponse,domaine_expediteur,jour_semaine,label
130,1,1,0.47424151177030494,0,outlook.com,Samedi,0
67,2,0,0.8598074820161882,1,gmail.com,Dimanche,0
129,1,1,0.16683829164162434,0,yahoo.com,Lundi,0
108,1,1,0.24971641363500263,1,inconnu,Samedi,0
99,6,1,0.13450214760197132,0,gmail.com,Mardi,0
138,2,1,0.7975372605818766,0,gmail.com,Mardi,0
150,1,1,0.22867511838661891,0,gmail.com,Samedi,0
147,2,0,0.15551124275829564,0,gmail.com,Dimanche,0
94,0,1,0.6231106875880562,0,yahoo.com,Vendredi,0
110,0,0,0.0770820263606744,0,gmail.com,Lundi,0
129,2,1,0.044900277220172535,0,yahoo.com,Lundi,0
149,2,1,0.10671764855245891,0,outlook.com,Samedi,0
105,1,1,0.00024088398716759496,0,entreprise.ma,Jeudi,0
114,0,0,0.6969901542217924,0,inconnu,Dimanche,0
86,1,1,0.5622353217144787,0,outlook.com,Mercredi,0
84,1,2,0.20987510903772388,1,gmail.com,Dimanche,0
144,0,1,0.23300494797759586,0,gmail.com,Vendredi,0
160,1,1,0.8109685984700397,0,entreprise.ma,Lundi,0
117,0,1,0.5018201158603004,0,outlook.com,Mercredi,0
150,1,0,0.6985283570817397,1,gmail.com,Samedi,0
130,0,1,0.45275545127491557,0,gmail.com,Vendredi,0
100,5,0,0.23771802602079228,0,entreprise.ma,Lundi,0
130,4,0,0.9704028006829069,1,outlook.com,Samedi,0
166,3,0,0.5656475633753975,1,outlook.com,Mardi,0
118,1,0,0.1309819037679124,1,gmail.com,Lundi,0
166,1,0,0.40609004218390676,0,outlook.com,Mardi,0
41,0,0,0.3293374119469007,1,entreprise.ma,Samedi,0
144,1,0,0.21408746858852135,0,banque.ma,Mardi,0
122,3,0,0.9334399892402595,1,entreprise.ma,Jeudi,0
111,2,1,0.8809199954597525,1,outlook.com,Samedi,0
122,0,0,0.1991471165201164,1,outlook.com,Samedi,0
60,1,2,0.35214788905551675,0,yahoo.com,Jeudi,0
113,3,0,0.7623153916708216,1,gmail.com,Mercredi,0
130,2,0,0.20850604814021567,0,banque.ma,Vendredi,0
164,1,2,0.5915648626042445,0,yahoo.com,Mercredi,0
104,2,0,0.6997939421248166,0,outlook.com,Dimanche,0
95,1,1,0.6539723257107664,0,inconnu,Jeudi,1
104,2,1,0.7064086402755005,0,inconnu,Mercredi,0
147,2,0,0.706699589028763,0,outlook.com,Vendredi,0
129,0,0,0.9648059198489284,0,gmail.com,Vendredi,0
104,2,0,0.3464988895203196,0,yahoo.com,Lundi,0
135,1,0,0.8785904243758396,1,inconnu,Mercredi,0
122,1,1,0.02180706251510678,1,gmail.com,Jeudi,0
149,2,1,0.2882029633232832,0,inconnu,Lundi,0
98,1,0,0.048655781999131564,1,gmail.com,Mercredi,0
110,1,0,0.6512039599558402,0,outlook.com,Samedi,0
108,0,0,0.10079037073161956,1,yahoo.com,Vendredi,0
76,1,1,0.8457068636520463,0,gmail.com,Jeudi,0
128,2,0,0.6465916837902598,1,inconnu,Samedi,0
127,1,0,0.028815401053605694,1,outlook.com,Mercredi,0
120,3,0,0.714777365434623,0,gmail.com,Vendredi,0
112,2,1,0.8620349472569611,0,yahoo.com,Vendredi,0
77,0,1,0.6611210076621494,0,entreprise.ma,Samedi,0
107,0,0,0.030524215935032184,0,gmail.com,Mercredi,0
109,2,0,0.8579195484604065,0,banque.ma,Mercredi,0
95,3,1,0.732463912934035,0,gmail.com,Jeudi,0
115,0,0,0.3784513124839842,0,gmail.com,Lundi,0
132,2,0,0.32863025831550263,0,gmail.com,Vendredi,0
176,2,0,0.4798201814074401,1,gmail.com,Lundi,0
125,2,0,0.8671017509378709,1,gmail.com,Lundi,0
127,0,0,0.2520593518695575,0,inconnu,Vendredi,0
117,2,0,0.10096381124120113,0,gmail.com,Mercredi,0
62,2,0,0.8646363729610499,0,gmail.com,Vendredi,0
119,0,0,0.026289848880722944,0,gmail.com,Samedi,0
121,0,0,0.9109970222440645,0,outlook.com,Lundi,0
193,1,1,0.3057451943014007,1,entreprise.ma,Jeudi,0
114,1,1,0.5082227016882677,1,entreprise.ma,Vendredi,0
129,1,1,0.13229552475222806,0,gmail.com,Dimanche,0
118,1,1,0.9022549693766853,0,outlook.com,Jeudi,0
84,2,0,0.7498362233844047,1,outlook.com,Mercredi,0
154,3,1,0.9241555866080342,1,yahoo.com,Mercredi,0
142,1,1,0.6832290511181625,1,yahoo.com,Samedi,0
143,3,0,0.18469377674232612,0,entreprise.ma,Jeudi,0
92,2,0,0.3082670029862493,0,gmail.com,Dimanche,0
162,3,1,0.48684857510347335,0,gmail.com,Jeudi,0
77,2,1,0.6072582053602069,0,gmail.com,Vendredi,0
137,4,1,0.9264594373362737,1,yahoo.com,Mercredi,0
185,2,0,0.38395146578913897,0,gmail.com,Jeudi,0
90,1,0,0.7030720219071459,1,outlook.com,Mardi,0
103,1,0,0.9610088489108218,0,banque.ma,Vendredi,0
122,0,0,0.152374063415453,1,outlook.com,Vendredi,0
104,1,0,0.8627095887795482,0,yahoo.com,Mardi,0
73,1,0,0.42070607039319863,0,entreprise.ma,Dimanche,0
122,3,0,0.7324217759293368,0,entreprise.ma,Mercredi,0
88,1,0,0.2935383387370837,0,yahoo.com,Jeudi,0
134,0,0,0.33398421826600155,1,outlook.com,Jeudi,0
92,2,0,0.02713322486806613,0,entreprise.ma,Mercredi,0
166,0,2,0.9714041531669596,1,gmail.com,Dimanche,0
96,0,2,0.8134525752307844,0,yahoo.com,Mardi,0
110,2,0,0.09391795792622049,0,gmail.com,Mardi,0
144,2,2,0.9995087956637745,1,inconnu,Dimanche,0
83,1,1,0.6050245972029414,1,gmail.com,Mardi,0
126,1,0,0.853728637964383,0,gmail.com,Vendredi,0
159,0,0,0.06666076327786896,1,yahoo.com,Dimanche,0
71,1,0,0.3894511784919237,0,banque.ma,Jeudi,0
125,1,0,0.6696511223036099,0,yahoo.com,Lundi,0
127,1,0,0.10643371869970153,1,entreprise.ma,Vendredi,0
143,4,0,0.48890283865400064,0,outlook.com,Vendredi,0
82,2,0,0.44267787454414154,0,outlook.com,Jeudi,0
80,2,0,0.21604022447357973,0,entreprise.ma,Mercredi,0
135,1,0,0.3002698358518022,0,gmail.com,Dimanche,0
128,5,0,0.9671183544949824,0,inconnu,Dimanche,0
127,1,0,0.288648486009936,0,entreprise.ma,Samedi,0
130,3,2,0.21342613396841104,1,inconnu,Jeudi,0
99,1,0,0.5362091710683334,0,entreprise.ma,Mercredi,0
126,2,1,0.6709580340702979,0,banque.ma,Jeudi,0
128,2,1,0.7250931110695649,1,gmail.com,Vendredi,0
98,0,2,0.7542471844969162,0,gmail.com,Dimanche,0
175,1,0,0.036832491514753096,1,gmail.com,Samedi,0
134,3,2,0.3937604003795633,1,gmail.com,Dimanche,0
84,2,0,0.7739580797830902,1,entreprise.ma,Mardi,0
139,2,1,0.9048521018001294,0,gmail.com,Vendredi,0
90,2,0,0.6022001233327833,0,gmail.com,Vendredi,0
143,0,1,0.05230685350968567,0,entreprise.ma,Lundi,0
154,4,1,0.3966458058551312,0,inconnu,Vendredi,0
95,0,0,0.07422711586845465,0,entreprise.ma,Vendredi,0
148,2,2,0.7485378626845846,0,entreprise.ma,Vendredi,0
132,1,1,0.06350546928166523,0,outlook.com,Samedi,0
144,0,0,0.18573106673517725,0,banque.ma,Lundi,0
176,0,0,0.4169584239647742,0,yahoo.com,Mercredi,0
112,2,0,0.462648367114872,1,inconnu,Samedi,0
97,2,0,0.4064817003150123,0,gmail.com,Samedi,0
93,0,2,0.463396646606,0,entreprise.ma,Dimanche,0
95,0,0,0.7132391520201998,0,outlook.com,Dimanche,0
117,2,0,0.36926882295554153,0,outlook.com,Dimanche,0
130,2,0,0.5477504591506192,0,entreprise.ma,Dimanche,0
128,1,0,0.30336925752873223,0,entreprise.ma,Dimanche,0
144,2,0,0.35362749509048264,0,banque.ma,Lundi,0
120,1,0,0.6137989590420808,1,gmail.com,Mardi,0
163,3,0,0.49049465163702,0,gmail.com,Mercredi,0
112,1,1,0.7230362948592811,0,gmail.com,Dimanche,0
201,1,0,0.5605385880517497,0,gmail.com,Samedi,0
138,6,0,0.8035740853838729,0,gmail.com,Samedi,0
94,1,0,0.44340821299471656,0,entreprise.ma,Lundi,0
87,1,2,0.4910336198668015,0,yahoo.com,Mardi,0
134,2,1,0.6699713489009396,1,entreprise.ma,Dimanche,0
113,0,1,0.22124394441204887,0,yahoo.com,Mardi,0
141,1,0,0.38592953693126086,0,outlook.com,Jeudi,0
134,0,1,0.6248412440117078,0,gmail.com,Dimanche,0
117,0,1,0.028876269265736387,1,entreprise.ma,Jeudi,0
94,1,1,0.43697143363394164,0,entreprise.ma,Samedi,0
74,3,0,0.5988499363061168,0,gmail.com,Samedi,0
106,2,4,0.9673755319781978,1,gmail.com,Vendredi,0
145,0,1,0.8770165616176712,1,gmail.com,Mercredi,0
126,2,0,0.28074195294265814,0,entreprise.ma,Lundi,0
82,1,0,0.5072101040289247,0,entreprise.ma,Vendredi,0
125,3,1,0.056414372660091305,0,outlook.com,Mercredi,0
131,2,1,0.24075441481780713,0,gmail.com,Samedi,0
93,1,1,0.7748558680680901,0,gmail.com,Jeudi,0
124,0,0,0.12331401227534455,1,gmail.com,Lundi,0
121,3,1,0.2576905248339566,1,gmail.com,Mardi,0
85,3,0,0.944042501735808,0,gmail.com,Mardi,0
130,2,0,0.823855800492458,1,gmail.com,Vendredi,0
136,2,0,0.781827712648912,1,outlook.com,Vendredi,0
152,0,0,0.8645574903021568,1,yahoo.com,Lundi,0
151,0,1,0.7496056865823539,1,yahoo.com,Mardi,0
78,1,1,0.12058621611823495,0,outlook.com,Dimanche,0
91,1,2,0.5165613264852313,0,outlook.com,Dimanche,0
135,1,0,0.444243920802322,0,outlook.com,Vendredi,0
135,1,0,0.3111515782703801,0,gmail.com,Mardi,0
135,2,2,0.8340404097196055,0,entreprise.ma,Jeudi,0
235,1,0,0.4641392023742337,0,inconnu,Vendredi,0
137,2,0,0.06029760135754969,0,gmail.com,Samedi,0
154,0,0,0.27496558372026825,0,gmail.com,Dimanche,0
148,2,0,0.2286210580294451,0,banque.ma,Mercredi,0
139,1,0,0.8874788848112836,0,inconnu,Vendredi,0
110,1,0,0.6474381006389999,0,gmail.com,Jeudi,0
142,3,1,0.5603762658820751,0,gmail.com,Lundi,0
96,1,1,0.5066492416787051,0,entreprise.ma,Dimanche,0
112,2,4,0.6501130275414655,1,gmail.com,Mardi,0
105,0,1,0.7548755467771248,0,inconnu,Dimanche,0
122,1,1,0.5543847058315099,0,gmail.com,Samedi,0
189,1,1,0.9382854151526105,0,banque.ma,Lundi,0
63,1,0,0.9768341706503846,0,gmail.com,Dimanche,0
140,2,2,0.995342316608823,0,gmail.com,Vendredi,0
71,1,0,0.6693911100886447,0,inconnu,Mercredi,0
105,2,0,0.9326204667558784,1,gmail.com,Lundi,0
152,2,0,0.4044796953079547,1,gmail.com,Dimanche,0
121,2,0,0.8595923912473853,0,banque.ma,Mercredi,0
87,1,0,0.9091742987396809,0,gmail.com,Vendredi,0
98,1,1,0.9041404723322756,0,gmail.com,Dimanche,0
140,0,0,0.8308462829083816,0,gmail.com,Mercredi,0
98,1,3,0.40659916164125043,1,outlook.com,Mercredi,0
126,0,1,0.15890748198073434,0,entreprise.ma,Jeudi,0
121,1,1,0.33395635634444587,0,banque.ma,Dimanche,0
100,2,0,0.767288569298093,0,yahoo.com,Lundi,0
184,1,0,0.23288551132997526,0,yahoo.com,Vendredi,0
139,0,0,0.4782720648259724,1,yahoo.com,Jeudi,0
59,1,1,0.565399517984672,0,entreprise.ma,Mercredi,0
125,2,1,0.6038585624378753,0,entreprise.ma,Jeudi,0
100,2,0,0.9357255483787986,0,inconnu,Jeudi,0
145,0,3,0.6614930204143176,0,inconnu,Mercredi,0
96,2,0,0.7862988160773022,0,gmail.com,Vendredi,0
116,2,0,0.5818783478916334,0,yahoo.com,Dimanche,0
135,1,0,0.8335803188619633,0,outlook.com,Mardi,0
145,0,0,0.2636636130697628,0,gmail.com,Jeudi,0
83,1,1,0.20987767166878923,0,gmail.com,Lundi,0
109,2,0,0.9263200487579697,0,banque.ma,Mercredi,0
105,2,0,0.6934808763573784,0,yahoo.com,Mardi,0
100,3,1,0.6715255770582211,0,outlook.com,Jeudi,0
172,2,0,0.4672952386284499,1,outlook.com,Mercredi,0
132,1,0,0.3766972592935105,0,entreprise.ma,Mercredi,0
82,0,0,0.5556911944786388,0,gmail.com,Jeudi,0
147,2,3,0.12056634942166711,1,outlook.com,Dimanche,0
183,0,0,0.45471256108310776,0,yahoo.com,Samedi,0
150,2,3,0.4553677044654809,1,banque.ma,Samedi,1
74,4,0,0.5383365129442652,1,yahoo.com,Lundi,0
105,2,2,0.6346856143672023,0,inconnu,Mercredi,0
158,0,0,0.9573183659853621,1,yahoo.com,Mercredi,0
98,2,0,0.6521691270917569,0,inconnu,Jeudi,0
133,1,0,0.8837251519534115,0,banque.ma,Mardi,0
143,1,0,0.5563038614691638,1,outlook.com,Mercredi,0
92,2,0,0.6269278826274898,0,yahoo.com,Dimanche,0
118,3,1,0.06983695310956961,0,yahoo.com,Mercredi,0
22,0,0,0.13326372288441557,1,entreprise.ma,Jeudi,0
89,4,0,0.5796704351975396,1,outlook.com,Samedi,1
112,1,0,0.39571286995802923,0,yahoo.com,Mercredi,0
82,0,1,0.7988105198655018,1,outlook.com,Dimanche,0
168,0,0,0.543177874874176,0,entreprise.ma,Jeudi,0
77,2,2,0.8822910389513379,0,gmail.com,Lundi,0
106,0,1,0.9723316784622913,0,gmail.com,Jeudi,0
123,4,1,0.147635185121485,0,gmail.com,Dimanche,0
163,1,1,0.39482775165562656,0,gmail.com,Samedi,0
76,0,0,0.6649810252380308,0,yahoo.com,Mardi,0
154,3,0,0.3054887554003497,0,entreprise.ma,Mercredi,0
120,1,0,0.26703233772149515,0,yahoo.com,Lundi,0
90,1,1,0.8137385606288366,1,gmail.com,Mercredi,0
133,1,0,0.9803784690587429,0,yahoo.com,Mercredi,0
125,1,0,0.7738033312474814,0,inconnu,Dimanche,0
101,2,0,0.5236766228041135,1,gmail.com,Samedi,0
122,0,2,0.4425112319453147,0,inconnu,Jeudi,0
108,2,2,0.5396477205303649,1,gmail.com,Mercredi,0
123,4,0,0.46283970218773585,0,gmail.com,Samedi,0
139,0,2,0.5028880567856681,0,entreprise.ma,Lundi,0
167,2,4,0.20345305052922769,0,yahoo.com,Dimanche,0
82,1,0,0.9037419493093276,0,entreprise.ma,Samedi,0
183,2,1,0.7545350015232681,0,banque.ma,Samedi,0
61,1,2,0.68097742269322,0,gmail.com,Samedi,0
115,2,1,0.9499249709744731,1,outlook.com,Dimanche,0
137,2,1,0.284394331912838,0,outlook.com,Vendredi,0
128,0,0,0.08115941089361423,0,banque.ma,Samedi,0
101,3,0,0.8261386603553317,1,yahoo.com,Mercredi,0
113,0,1,0.9984169636492549,0,gmail.com,Samedi,0
105,3,1,0.5784324380201994,1,outlook.com,Jeudi,0
102,2,0,0.058809387912681865,0,inconnu,Mardi,0
145,1,0,0.7804680401549412,0,gmail.com,Mercredi,0
130,5,0,0.07374904884584155,0,gmail.com,Samedi,0
99,0,1,0.5400139862592812,0,gmail.com,Samedi,0
146,1,3,0.27753247421052707,0,entreprise.ma,Jeudi,0
129,1,1,0.9150267805923954,1,gmail.com,Mercredi,0
144,0,0,0.451331213259485,0,gmail.com,Vendredi,0
138,1,0,0.8984633484785534,0,outlook.com,Vendredi,0
95,1,1,0.29908108525456756,0,gmail.com,Lundi,0
103,1,0,0.38736258382135125,0,gmail.com,Vendredi,0
142,2,0,0.9471191882470805,0,yahoo.com,Dimanche,0
138,2,0,0.20131445093163536,0,yahoo.com,Dimanche,0
119,1,0,0.5785011516511451,0,gmail.com,Jeudi,0
123,1,1,0.38851032856011136,0,gmail.com,Vendredi,0
158,2,3,0.7741668850687273,1,yahoo.com,Jeudi,0
102,0,1,0.1292963711713574,0,entreprise.ma,Mercredi,0
136,0,0,0.4372149690046685,0,yahoo.com,Lundi,0
113,2,1,0.6989326268452631,1,outlook.com,Samedi,0
113,1,2,0.4070162350061598,1,gmail.com,Samedi,0
152,1,1,0.05853173927537669,0,gmail.com,Samedi,0
144,1,1,0.7051122613353439,1,banque.ma,Lundi,0
144,0,1,0.5031983276849831,0,gmail.com,Samedi,1
159,0,0,0.011308686680100544,0,yahoo.com,Vendredi,0
120,2,0,0.612655895228373,1,banque.ma,Dimanche,0
140,0,0,0.9198810225287865,1,entreprise.ma,Samedi,0
110,0,2,0.11102594821168899,0,entreprise.ma,Samedi,0
129,1,1,0.590671235009169,0,outlook.com,Mardi,0
116,3,0,0.7286688817626303,0,gmail.com,Dimanche,0
122,0,0,0.07077367014030544,0,inconnu,Vendredi,0
137,3,2,0.02261545816418631,1,inconnu,Samedi,0
95,3,0,0.4641958666449473,0,gmail.com,Mardi,0
182,2,0,0.7911866872343638,0,entreprise.ma,Vendredi,0
89,1,1,0.16071941009932833,0,yahoo.com,Jeudi,0
83,1,1,0.8366372722149229,1,outlook.com,Jeudi,0
154,2,0,0.6565772554235961,0,gmail.com,Samedi,0
143,1,1,0.33217328778848565,0,yahoo.com,Samedi,0
138,3,1,0.5158257984924495,1,gmail.com,Mardi,0
138,1,0,0.9655749797267384,0,yahoo.com,Lundi,0
119,1,1,0.2164369706323388,1,gmail.com,Mardi,0
93,1,0,0.4995353977440402,0,yahoo.com,Mercredi,0
122,3,1,0.6244865561076207,0,outlook.com,Lundi,0
99,2,0,0.13801460547566624,0,banque.ma,Mardi,0
149,0,1,0.04352208862330964,0,gmail.com,Dimanche,0
115,3,2,0.013459952931471286,0,banque.ma,Dimanche,0
95,2,0,0.32469285660001623,0,yahoo.com,Mercredi,0
110,2,0,0.07394729448486537,0,entreprise.ma,Mercredi,0
132,3,0,0.8037699525411146,0,yahoo.com,Dimanche,0
103,2,2,0.997319527161746,0,banque.ma,Samedi,0
95,1,2,0.061303821734464026,0,outlook.com,Dimanche,0
127,3,2,0.4327262759334396,0,yahoo.com,Vendredi,0
127,3,0,0.025732122982574768,0,gmail.com,Samedi,0
104,1,1,0.13399089075726323,0,inconnu,Mardi,0
105,3,1,0.32292256091067406,0,entreprise.ma,Dimanche,0
126,2,1,0.39369821305764985,0,yahoo.com,Jeudi,0
76,2,0,0.9397829464286401,0,gmail.com,Dimanche,0
77,2,0,0.39583680875689586,0,entreprise.ma,Samedi,0
98,2,0,0.4962776590574022,0,inconnu,Vendredi,0
113,4,0,0.2455833682738664,1,gmail.com,Samedi,0
129,1,1,0.00012513875657549356,0,inconnu,Samedi,0
164,1,0,0.8993344567331352,0,gmail.com,Dimanche,0
145,1,0,0.08171475703630482,0,inconnu,Lundi,0
115,2,0,0.9642488410362291,1,entreprise.ma,Dimanche,0
119,0,0,0.13084410410026026,0,gmail.com,Dimanche,0
89,1,0,0.6048784807504403,0,gmail.com,Dimanche,0
119,0,1,0.999410587856637,1,outlook.com,Jeudi,0
111,4,2,0.13846459606967587,0,outlook.com,Mercredi,0
129,2,1,0.42394308493982424,0,inconnu,Lundi,0
95,4,0,0.7804236689714765,0,entreprise.ma,Dimanche,0
135,2,0,0.032190149849968264,0,yahoo.com,Dimanche,0
165,1,0,0.6897827511400445,0,inconnu,Vendredi,0
116,1,0,0.08037333789079948,0,outlook.com,Samedi,0
132,3,0,0.23652014227322637,1,entreprise.ma,Mercredi,0
140,3,2,0.16007616249336043,0,entreprise.ma,Samedi,0
107,1,0,0.9073364316469362,1,inconnu,Mercredi,0
126,0,0,0.18045671678168085,1,gmail.com,Mercredi,0
120,2,0,0.0404340955151572,0,outlook.com,Jeudi,0
122,3,1,0.5876256784477621,0,yahoo.com,Vendredi,0
96,2,0,0.346180925409702,0,yahoo.com,Vendredi,0
120,0,2,0.4057062206413664,0,yahoo.com,Samedi,0
134,0,1,0.11906274486254698,0,entreprise.ma,Dimanche,0
163,2,0,0.7482344914331945,0,gmail.com,Jeudi,0
148,0,0,0.601553649643518,1,yahoo.com,Vendredi,0
184,1,0,0.36421704474828,0,gmail.com,Mercredi,0
96,1,1,0.17157494376313598,0,gmail.com,Mercredi,0
146,0,0,0.5934517391705604,1,outlook.com,Samedi,0
125,1,0,0.7785972795073773,0,gmail.com,Mercredi,0
185,1,0,0.3123972838671949,0,gmail.com,Vendredi,0
95,2,1,0.025860383538597098,0,yahoo.com,Mardi,0
94,2,0,0.214343984752984,0,gmail.com,Lundi,0
102,0,1,0.6823978188928292,0,gmail.com,Mardi,0
56,3,0,0.9890963774569227,1,banque.ma,Jeudi,0
104,0,0,0.013376239408776525,0,entreprise.ma,Mardi,0
97,1,0,0.30615356213210076,0,gmail.com,Dimanche,0
124,2,0,0.06202087044883886,0,gmail.com,Samedi,0
130,3,0,0.31634928776303217,0,inconnu,Mardi,0
176,0,2,0.40591434312742125,0,gmail.com,Dimanche,0
148,1,1,0.920862091946255,0,outlook.com,Samedi,0
102,1,1,0.08056079940497873,0,outlook.com,Jeudi,0
93,1,0,0.77713405306577,0,entreprise.ma,Mardi,0
134,1,0,0.39553439606296337,0,inconnu,Lundi,0
80,1,0,0.8112628496669277,1,yahoo.com,Vendredi,0
174,1,1,0.5134021853256213,0,yahoo.com,Dimanche,1
155,3,0,0.03928203884341008,0,outlook.com,Jeudi,0
105,0,0,0.9462058847148388,0,inconnu,Mardi,0
68,2,0,0.08273406343452183,0,banque.ma,Mercredi,0
160,1,0,0.5976835025337561,1,outlook.com,Mercredi,0
116,1,0,0.8776677629335158,0,banque.ma,Jeudi,0
157,3,0,0.07976979775019388,1,gmail.com,Mercredi,0
72,2,1,0.5538933884160129,1,yahoo.com,Lundi,0
102,0,0,0.8242898755244522,0,gmail.com,Dimanche,0
120,0,2,0.9863247086457958,1,gmail.com,Mardi,0
121,0,0,0.7243274008140212,1,outlook.com,Lundi,0
106,1,1,0.27833437546329365,0,banque.ma,Lundi,0
138,1,0,0.6995703298454095,0,outlook.com,Vendredi,0
87,3,0,0.7057667693076394,0,outlook.com,Mardi,0
115,1,3,0.6999660121046174,0,gmail.com,Jeudi,0
123,1,0,0.8542604370931057,0,outlook.com,Mercredi,0
135,2,0,0.08738006251949093,0,yahoo.com,Dimanche,0
141,2,2,0.10841984541543337,0,outlook.com,Vendredi,0
86,1,1,0.640617124225558,0,gmail.com,Lundi,0
73,3,0,0.9538810960981878,1,outlook.com,Mercredi,0
158,0,1,0.46583863891924593,0,yahoo.com,Mardi,0
129,2,0,0.9605627016256751,0,outlook.com,Lundi,0
97,3,0,0.938085259516154,0,gmail.com,Lundi,0
166,3,3,0.9029097382343195,0,yahoo.com,Mardi,0
123,2,0,0.9098509748640853,1,yahoo.com,Jeudi,0
155,2,0,0.898318793327986,0,entreprise.ma,Vendredi,0
122,3,2,0.8198893835391822,1,entreprise.ma,Mardi,0
181,1,2,0.6949789586053303,0,inconnu,Mercredi,0
172,0,0,0.024408178592608243,1,outlook.com,Mercredi,0
112,1,2,0.13225359215605248,1,gmail.com,Lundi,0
149,1,0,0.13423205453146714,1,entreprise.ma,Dimanche,0
139,1,0,0.023540284279589874,0,yahoo.com,Samedi,0
161,3,1,0.11670176842363666,0,gmail.com,Vendredi,0
91,0,1,0.9197464335671063,0,entreprise.ma,Jeudi,0
140,2,1,0.663804286910786,0,gmail.com,Jeudi,0
151,1,1,0.31207301829542244,0,gmail.com,Samedi,0
67,2,0,0.79336001223668,0,entreprise.ma,Mercredi,0
84,0,1,0.48836948695485094,1,entreprise.ma,Jeudi,0
58,0,0,0.14212703691587658,0,entreprise.ma,Dimanche,0
111,2,0,0.8845020812264927,1,gmail.com,Mercredi,0
141,0,1,0.3386619462364725,0,banque.ma,Vendredi,0
165,2,0,0.6988592305298942,0,entreprise.ma,Samedi,0
122,1,1,0.2905941604996074,0,entreprise.ma,Lundi,0
168,2,0,0.5000712506738,0,entreprise.ma,Dimanche,0
78,2,0,0.8162527115304155,0,outlook.com,Mercredi,0
68,1,1,0.1567773464243677,1,gmail.com,Vendredi,0
118,2,1,0.9772513952392784,0,entreprise.ma,Samedi,0
131,0,2,0.0702159228607262,1,outlook.com,Mercredi,0
119,0,0,0.5340089097405041,1,gmail.com,Mardi,0
57,1,1,0.916025519351948,0,entreprise.ma,Mercredi,0
117,2,1,0.9456938848825254,1,outlook.com,Vendredi,0
80,1,1,0.232108962879776,1,outlook.com,Jeudi,0
140,0,1,0.14398498121480863,1,yahoo.com,Mercredi,0
130,1,0,0.724403000317891,1,gmail.com,Lundi,0
91,1,0,0.041973568276237105,1,gmail.com,Vendredi,0
104,1,0,0.48523896903031427,0,entreprise.ma,Jeudi,0
